Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
1723,6989591,"exercises/easy/ex2-type-checker.js",270,0,"i",javascript,content
1724,6989752,"exercises/easy/ex2-type-checker.js",271,0,"g",javascript,content
1725,6989854,"exercises/easy/ex2-type-checker.js",272,0,"n",javascript,content
1726,6990375,"exercises/easy/ex2-type-checker.js",272,1,"",javascript,content
1727,6990495,"exercises/easy/ex2-type-checker.js",271,1,"",javascript,content
1728,6990624,"exercises/easy/ex2-type-checker.js",271,0,"g",javascript,content
1729,6990744,"exercises/easy/ex2-type-checker.js",272,0,"n",javascript,content
1730,6990950,"exercises/easy/ex2-type-checker.js",273,0,"s",javascript,content
1731,6991216,"exercises/easy/ex2-type-checker.js",273,1,"",javascript,content
1732,6991336,"exercises/easy/ex2-type-checker.js",272,1,"",javascript,content
1733,6991461,"exercises/easy/ex2-type-checker.js",271,1,"",javascript,content
1734,6991668,"exercises/easy/ex2-type-checker.js",271,0,"n",javascript,content
1735,6991737,"exercises/easy/ex2-type-checker.js",272,0,"g",javascript,content
1736,6991983,"exercises/easy/ex2-type-checker.js",273,0,"s",javascript,content
1737,6992636,"exercises/easy/ex2-type-checker.js",274,0," ",javascript,content
1738,6994556,"exercises/easy/ex2-type-checker.js",310,0,"b",javascript,content
1739,6994680,"exercises/easy/ex2-type-checker.js",311,0,"e",javascript,content
1740,6994932,"exercises/easy/ex2-type-checker.js",312,0,"r",javascript,content
1741,6995219,"exercises/easy/ex2-type-checker.js",313,0,"s",javascript,content
1742,6997048,"exercises/easy/ex2-type-checker.js",332,0,"l",javascript,content
1743,6997206,"exercises/easy/ex2-type-checker.js",333,0,"e",javascript,content
1744,6997437,"exercises/easy/ex2-type-checker.js",334,0,"a",javascript,content
1745,6997492,"exercises/easy/ex2-type-checker.js",335,0,"n",javascript,content
1746,6997639,"exercises/easy/ex2-type-checker.js",336,0," ",javascript,content
1747,7000947,"exercises/easy/ex2-type-checker.js",357,0,"u",javascript,content
1748,7001154,"exercises/easy/ex2-type-checker.js",358,0,"l",javascript,content
1749,7001284,"exercises/easy/ex2-type-checker.js",359,0,"l",javascript,content
1750,7002604,"exercises/easy/ex2-type-checker.js",382,0,"e",javascript,content
1751,7003144,"exercises/easy/ex2-type-checker.js",383,0,"f",javascript,content
1752,7003210,"exercises/easy/ex2-type-checker.js",384,0,"i",javascript,content
1753,7003331,"exercises/easy/ex2-type-checker.js",385,0,"n",javascript,content
1754,7003808,"exercises/easy/ex2-type-checker.js",386,0,"e",javascript,content
1754,7003808,"exercises/easy/ex2-type-checker.js",386,0,"e",javascript,content
1755,7003809,"exercises/easy/ex2-type-checker.js",387,0,"d",javascript,content
1756,7005488,"exercises/easy/ex2-type-checker.js",413,1,"",javascript,content
1757,7005647,"exercises/easy/ex2-type-checker.js",412,1,"",javascript,content
1758,7006600,"exercises/easy/ex2-type-checker.js",412,0,"N",javascript,content
1759,7006959,"exercises/easy/ex2-type-checker.js",413,0,"a",javascript,content
1760,7007382,"exercises/easy/ex2-type-checker.js",414,0,"n",javascript,content
1761,7009537,"exercises/easy/ex2-type-checker.js",415,0," ",javascript,content
1762,7011085,"exercises/easy/ex2-type-checker.js",412,1,"",javascript,content
1763,7011684,"exercises/easy/ex2-type-checker.js",412,0,"n",javascript,content
1764,7013983,"exercises/easy/ex2-type-checker.js",415,1,"",javascript,content
1765,7014599,"exercises/easy/ex2-type-checker.js",415,0," ",javascript,content
1766,7015861,"exercises/easy/ex2-type-checker.js",390,0," ",javascript,content
1767,7017214,"exercises/easy/ex2-type-checker.js",418,0," ",javascript,content
1768,7018265,"exercises/easy/ex2-type-checker.js",362,0," ",javascript,content
1769,7019311,"exercises/easy/ex2-type-checker.js",338,0," ",javascript,content
1770,7020502,"exercises/easy/ex2-type-checker.js",315,0," ",javascript,content
1771,7021607,"exercises/easy/ex2-type-checker.js",276,0," ",javascript,content
1772,7022388,"exercises/easy/ex2-type-checker.js",252,0," ",javascript,content
1773,7024170,"exercises/easy/ex2-type-checker.js",230,0," ",javascript,content
1774,7027785,"package.json",0,0,"{\n  ""name"": ""js-exercises"",\n  ""version"": ""1.0.0"",\n  ""description"": """",\n  ""main"": ""index.js"",\n  ""scripts"": {\n    ""test"": ""jest"",\n    ""test:watch"": ""jest --watch"",\n    ""test:easy"": ""jest tests/easy"",\n    ""test:medium"": ""jest tests/medium"",\n    ""test:hard"": ""jest tests/hard""\n  },\n  ""keywords"": [\n    ""javascript"",\n    ""beginner"",\n    ""exercises"",\n    ""jest""\n  ],\n  ""author"": """",\n  ""license"": ""ISC"",\n  ""devDependencies"": {\n    ""jest"": ""^29.7.0""\n  }\n}\n",json,tab
1775,7075972,"exercises/medium/ex4-dice-roller.js",0,0,"function rollDice() {\n  /* return a random number between 1 and 6, simulating a dice roll */\n\n  return Math.random;\n}\n\nmodule.exports = rollDice;\n",javascript,tab
1776,7083254,"exercises/medium/ex4-dice-roller.js",114,0," ",javascript,content
1777,7083725,"exercises/medium/ex4-dice-roller.js",115,0,"*",javascript,content
1778,7086433,"exercises/medium/ex4-dice-roller.js",115,1,"",javascript,content
1778,7086433,"exercises/medium/ex4-dice-roller.js",115,1,"",javascript,content
1779,7086434,"exercises/medium/ex4-dice-roller.js",114,1,"",javascript,content
1780,7086459,"exercises/medium/ex4-dice-roller.js",113,1,"",javascript,content
1781,7086612,"exercises/medium/ex4-dice-roller.js",112,1,"",javascript,content
1782,7086769,"exercises/medium/ex4-dice-roller.js",111,1,"",javascript,content
1783,7086911,"exercises/medium/ex4-dice-roller.js",110,1,"",javascript,content
1784,7087080,"exercises/medium/ex4-dice-roller.js",109,1,"",javascript,content
1785,7087235,"exercises/medium/ex4-dice-roller.js",108,1,"",javascript,content
1786,7087397,"exercises/medium/ex4-dice-roller.js",107,1,"",javascript,content
1787,7087571,"exercises/medium/ex4-dice-roller.js",106,1,"",javascript,content
1788,7087685,"exercises/medium/ex4-dice-roller.js",105,1,"",javascript,content
1789,7087931,"exercises/medium/ex4-dice-roller.js",104,1,"",javascript,content
1790,7088315,"exercises/medium/ex4-dice-roller.js",103,1,"",javascript,content
1791,7090512,"exercises/medium/ex4-dice-roller.js",103,0,"Math.random *",javascript,content
1792,7091502,"exercises/medium/ex4-dice-roller.js",116,0," ",javascript,content
1793,7093584,"exercises/medium/ex4-dice-roller.js",117,0,"6",javascript,content
1794,7093817,"exercises/medium/ex4-dice-roller.js",118,0,"-",javascript,content
1795,7095599,"exercises/medium/ex4-dice-roller.js",118,1,"",javascript,content
1796,7095715,"exercises/medium/ex4-dice-roller.js",117,1,"",javascript,content
1797,7096221,"exercises/medium/ex4-dice-roller.js",117,0,"()",javascript,content
1798,7096711,"exercises/medium/ex4-dice-roller.js",118,0,"6",javascript,content
1799,7096898,"exercises/medium/ex4-dice-roller.js",119,0,"-",javascript,content
1800,7097142,"exercises/medium/ex4-dice-roller.js",120,0,"1",javascript,content
1801,7097571,"exercises/medium/ex4-dice-roller.js",121,1,")",javascript,content
1802,7099320,"exercises/medium/ex4-dice-roller.js",122,0," ",javascript,content
1803,7099642,"exercises/medium/ex4-dice-roller.js",123,0,"-",javascript,content
1804,7100112,"exercises/medium/ex4-dice-roller.js",123,1,"",javascript,content
1805,7100375,"exercises/medium/ex4-dice-roller.js",123,0,"+",javascript,content
1806,7101272,"exercises/medium/ex4-dice-roller.js",124,0," ",javascript,content
1807,7101663,"exercises/medium/ex4-dice-roller.js",125,0,"1",javascript,content
1808,7102482,"exercises/medium/ex4-dice-roller.js",126,0," ",javascript,content
1809,7104687,"exercises/medium/ex4-dice-roller.js",126,1,"",javascript,content
1810,7109524,"package.json",0,0,"{\n  ""name"": ""js-exercises"",\n  ""version"": ""1.0.0"",\n  ""description"": """",\n  ""main"": ""index.js"",\n  ""scripts"": {\n    ""test"": ""jest"",\n    ""test:watch"": ""jest --watch"",\n    ""test:easy"": ""jest tests/easy"",\n    ""test:medium"": ""jest tests/medium"",\n    ""test:hard"": ""jest tests/hard""\n  },\n  ""keywords"": [\n    ""javascript"",\n    ""beginner"",\n    ""exercises"",\n    ""jest""\n  ],\n  ""author"": """",\n  ""license"": ""ISC"",\n  ""devDependencies"": {\n    ""jest"": ""^29.7.0""\n  }\n}\n",json,tab
1811,7126805,"exercises/medium/ex9-reverse-string.js",0,0,"function reverseString(str) {\n  /* take a string as input and return it reversed Example: ""hello"" -> ""olleh"" */\n  let str\n  for(i = 0; i < str.length; i++){\n    \n  }\n}\n\n\nmodule.exports = reverseString;\n",javascript,tab
1812,7134558,"exercises/medium/ex9-reverse-string.js",120,1,"",javascript,content
1813,7135046,"exercises/medium/ex9-reverse-string.js",119,1,"",javascript,content
1814,7136922,"exercises/medium/ex9-reverse-string.js",118,1,"",javascript,content
1815,7139081,"exercises/medium/ex9-reverse-string.js",118,0,"r",javascript,content
1816,7139412,"exercises/medium/ex9-reverse-string.js",119,0,"t",javascript,content
1817,7139689,"exercises/medium/ex9-reverse-string.js",120,0,"s",javascript,content
1818,7143008,"exercises/medium/ex9-reverse-string.js",121,0," ",javascript,content
1818,7143008,"exercises/medium/ex9-reverse-string.js",121,0," ",javascript,content
1818,7143008,"exercises/medium/ex9-reverse-string.js",121,0," ",javascript,content
1819,7143009,"exercises/medium/ex9-reverse-string.js",122,0,"=",javascript,content
1820,7143010,"exercises/medium/ex9-reverse-string.js",123,0," ",javascript,content
1821,7143687,"exercises/medium/ex9-reverse-string.js",124,0,"""""",javascript,content
1822,7144660,"exercises/medium/ex9-reverse-string.js",125,0," ",javascript,content
1823,7147353,"exercises/medium/ex9-reverse-string.js",167,0,"r",javascript,content
1824,7147559,"exercises/medium/ex9-reverse-string.js",168,0,"e",javascript,content
1825,7148951,"exercises/medium/ex9-reverse-string.js",168,1,"",javascript,content
1826,7149083,"exercises/medium/ex9-reverse-string.js",167,1,"",javascript,content
1827,7154236,"exercises/medium/ex9-reverse-string.js",127,0,";",javascript,content
